,subject,date,eid,probe,region,n_neurons,n_sig_surprise
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,APN,126,1
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,CA,24,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,DG-mo,20,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,DG-sg,33,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,MB,8,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,MRN,12,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,POL,5,1
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,PoT,2,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,SNc,3,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,SNr,32,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,SPFp,6,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,TH,3,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,bsc,10,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe00,cpd,5,1
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,ACB,91,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,CP,279,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,152,3
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,152,3
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,152,3
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,152,3
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,MOs,152,3
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,fa,28,0
0,SWC_038,2020-07-31,1e45d992-c356-40e1-9be1-a506d944896f,probe01,scwm,3,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,DP,96,1
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,ILA,58,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,MOs,213,1
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,MOs,213,1
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,MOs,213,1
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,MOs,213,1
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,OLF,4,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,ORBm,149,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,PL,44,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe00,TTd,48,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,AON,103,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,DP,30,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,FRP,10,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,MOs,189,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,MOs,189,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,MOs,189,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,ORBm,28,0
0,SWC_038,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,probe01,ORBvl,163,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe00,ACB,18,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe00,CP,266,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe00,ccg,14,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,APN,86,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,CA,17,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,DG-mo,4,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,DG-po,16,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,DG-sg,38,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,LP,3,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,POL,18,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,VISa,58,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,VISa,58,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,VISa,58,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,VISa,58,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,VISa,58,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,VISa,58,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,alv,1,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,bsc,1,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,ccs,2,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,or,1,0
0,SWC_038,2020-07-29,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,void,3,0
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,CA,48,3
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,CA,48,3
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,CA,48,3
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,CL,7,0
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,DG-mo,1,0
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,LD,12,0
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,LP,23,7
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,MD,134,2
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,PCN,21,0
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,alv,1,0
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe00,ccb,4,1
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,ACB,74,0
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,CP,263,0
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,OT,14,6
0,DY_014,2020-07-19,b39752db-abdb-47ab-ae78-e8608bbf50ed,probe01,SI,91,14
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,CA,28,0
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,CA,28,0
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,DG-mo,34,1
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,DG-po,28,0
0,SWC_042,2020-07-17,f9860a11-24d3-452e-ab95-39e199f20a93,probe00,DG-sg,46,1
